feature,importance
Sex,0.2535356232343568
Age,0.21636013764643056
Fare,0.17631217408410385
FarePerPerson,0.16771081218726552
Pclass,0.0645022161896594
FamilySize,0.03714677029648648
Embarked,0.030692245550514297
SibSp,0.022056644592285655
Parch,0.019777780743399507
IsAlone,0.011905595475497875
